"Casualties detailed in the war logs, month by month",,,,,,
Year,Month,Taliban,Civilians,Afghan forces,Nato (detailed in spreadsheet),Nato - official figures
2004,January,15,51,23,,11
2004,February,,7,4,5,2
2004,March,19,2,,2,3
2004,April,5,3,19,,3
2004,May,18,29,56,6,9
2004,June,163,32,14,2,5
2004,July,21,19,19,,2
2004,August,20,26,10,3,4
2004,September,33,4,16,,4
2004,October,13,14,14,2,8
2004,November,21,19,36,2,7
2004,December,15,13,7,,2
2005,January,6,4,27,2,2
2005,February,14,4,,,3
2005,March,38,18,2,2,6
2005,April,118,5,4,2,19
2005,May,113,49,25,4,4
2005,June,143,31,4,24,29
2005,July,75,5,29,2,2
2005,August,90,6,10,13,33
2005,September,89,12,29,12,12
2005,October,122,15,10,3,10
2005,November,36,13,24,4,7
2005,December,48,16,16,3,4
2006,January,26,93,14,1,1
2006,February,12,54,106,12,17
2006,March,36,37,61,15,13
2006,April,52,33,43,5,5
2006,May,85,54,50,16,17
2006,June,295,71,39,19,22
2006,July,220,64,36,13,19
2006,August,161,101,42,18,29
2006,September,945,172,97,19,38
2006,October,333,44,70,17,17
2006,November,325,46,14,5,9
2006,December,216,51,36,3,4
2007,January,125,53,49,1,2
2007,February,152,33,35,6,18
2007,March,76,48,48,4,10
2007,April,166,123,68,26,20
2007,May,199,71,125,19,25
2007,June,564,80,98,27,24
2007,July,485,83,114,25,29
2007,August,551,65,89,31,34
2007,September,917,64,144,20,24
2007,October,462,46,75,11,15
2007,November,270,60,67,11,22
2007,December,172,37,55,5,9
2008,January,86,43,48,8,14
2008,February,139,120,35,7,7
2008,March,90,41,19,13,20
2008,April,128,55,86,16,14
2008,May,177,54,65,18,23
2008,June,306,51,58,32,46
2008,July,303,120,100,19,30
2008,August,326,46,61,46,46
2008,September,142,63,57,27,37
2008,October,485,56,54,19,19
2008,November,479,78,68,12,12
2008,December,223,76,52,27,27
2009,January,185,31,34,19,25
2009,February,209,46,69,23,25
2009,March,202,64,94,24,28
2009,April,240,44,73,14,14
2009,May,406,109,118,22,27
2009,June,526,111,133,32,38
2009,July,557,119,80,90,76
2009,August,445,206,190,64,77
2009,September,614,197,133,54,70
2009,October,462,107,86,76,74
2009,November,410,120,69,30,32
2009,December,287,87,65,33,35
,24498,"15,507","4,024","3,820","1,147",