"GeographyCode","QS604EW0001","QS604EW0002","QS604EW0003","QS604EW0004","QS604EW0005","QS604EW0006","QS604EW0007"
"E02001347",3378,1020,248,772,2358,2050,308
"E02001348",3473,973,217,756,2500,2209,291
"E02001349",4057,1107,281,826,2950,2627,323
"E02001350",3082,944,210,734,2138,1899,239
"E02001351",3315,1112,264,848,2203,1965,238
"E02001352",2995,986,206,780,2009,1769,240
"E02001353",3971,1135,293,842,2836,2438,398
"E02001354",3093,1091,277,814,2002,1788,214
"E02001355",2783,875,215,660,1908,1687,221
"E02001356",1896,659,145,514,1237,1103,134
"E02001357",2460,883,211,672,1577,1431,146
"E02001358",2875,902,205,697,1973,1787,186
"E02001359",2765,854,235,619,1911,1642,269
"E02001360",2987,1020,208,812,1967,1739,228
"E02001361",3144,1043,265,778,2101,1887,214
"E02001362",3206,1012,262,750,2194,1979,215
"E02001363",2913,980,206,774,1933,1686,247
"E02001364",1769,609,170,439,1160,1035,125
"E02001365",3544,1187,294,893,2357,2125,232
"E02001366",3844,1150,301,849,2694,2400,294
"E02001367",4487,1280,373,907,3207,2747,460
"E02001368",1889,664,152,512,1225,1098,127
"E02001369",2898,942,237,705,1956,1724,232
"E02001370",1724,637,147,490,1087,969,118
"E02001371",2936,964,221,743,1972,1760,212
"E02001372",2688,816,205,611,1872,1629,243
"E02001373",4003,1273,287,986,2730,2438,292
"E02001374",3372,1068,337,731,2304,2014,290
"E02001375",2983,885,216,669,2098,1890,208
"E02001376",2997,1174,325,849,1823,1631,192
"E02001377",3305,1731,948,783,1574,1365,209
"E02001378",3509,997,268,729,2512,2189,323
"E02001380",3718,1090,300,790,2628,2286,342
"E02001381",3907,1379,495,884,2528,2242,286
"E02001382",3635,1068,325,743,2567,2205,362
"E02001383",2950,1167,555,612,1783,1498,285
"E02001384",4086,1931,974,957,2155,1895,260
"E02001385",2156,862,253,609,1294,1067,227
"E02001386",2764,935,210,725,1829,1640,189
"E02001387",4074,1197,411,786,2877,2364,513
"E02001388",4217,1372,588,784,2845,2430,415
"E02001389",3079,802,267,535,2277,1870,407
"E02001390",2887,1032,266,766,1855,1605,250
"E02001391",2269,747,201,546,1522,1374,148
"E02001392",2605,737,204,533,1868,1508,360
"E02001393",3663,1225,522,703,2438,1845,593
"E02001394",4419,1269,583,686,3150,2557,593
"E02001395",3161,856,273,583,2305,2011,294
"E02001396",3885,1036,300,736,2849,2451,398
"E02001397",3431,988,297,691,2443,1989,454
"E02001398",3866,1007,342,665,2859,2353,506
"E02001399",3540,1015,310,705,2525,2172,353
"E02001400",2929,917,255,662,2012,1731,281
"E02001401",3609,1024,283,741,2585,2223,362
"E02001402",4277,1096,357,739,3181,2620,561
"E02001403",2704,852,227,625,1852,1651,201
"E02001404",2905,907,215,692,1998,1798,200
"E02001405",3284,1106,228,878,2178,1962,216
"E02006932",3788,1818,1194,624,1970,1642,328
"E02006933",3169,609,223,386,2560,2030,530
"E02006934",3312,630,319,311,2682,2173,509
